,kenpom,tvk_H,tvk_A_N
333,Utah Tech,Utah Tech,Utah Tech
334,Utah Valley,Utah Valley,Utah Valley
335,VCU,VCU,VCU
336,VMI,VMI,VMI
337,Valparaiso,Valparaiso,Valparaiso
338,Vanderbilt,Vanderbilt,Vanderbilt
339,Vermont,Vermont,Vermont
340,Villanova,Villanova,Villanova
341,Virginia,Virginia,Virginia
342,Virginia Tech,Virginia Tech,Virginia Tech
343,Wagner,Wagner,Wagner
344,Wake Forest,Wake Forest,Wake Forest
345,Washington,Washington,Washington
346,Washington St.,Washington St.,Washington St.
347,Weber St.,Weber St.,Weber St.
348,West Georgia,West Georgia,West Georgia
349,West Virginia,West Virginia,West Virginia
350,Western Carolina,Western Carolina,Western Carolina
351,Western Illinois,Western Illinois,Western Illinois
352,Western Kentucky,Western Kentucky,Western Kentucky
353,Western Michigan,Western Michigan,Western Michigan
354,Wichita St.,Wichita St.,Wichita St.
355,William & Mary,William & Mary,William & Mary
356,Winthrop,Winthrop,Winthrop
357,Wisconsin,Wisconsin,Wisconsin
358,Wofford,Wofford,Wofford
359,Wright St.,Wright St.,Wright St.
360,Wyoming,Wyoming,Wyoming
361,Xavier,Xavier,Xavier
362,Yale,Yale,Yale
363,Youngstown St.,Youngstown St.,Youngstown St.
